rcsb_id,entry.id,struct.title,exptl.method,exptl_crystal_grow.crystal_id,exptl_crystal_grow.method,exptl_crystal_grow.pH,exptl_crystal_grow.temp,exptl_crystal_grow.pdbx_details,exptl_crystal.density_Matthews,exptl_crystal.density_percent_sol,exptl_crystal_grow.pdbx_details_extracted.pH,exptl_crystal_grow.pdbx_details_extracted.temperature,exptl_crystal_grow.pdbx_details_extracted.method,exptl_crystal_grow.pdbx_details_extracted.reagents,exptl_crystal_grow.pdbx_details_refined
2BTY,2BTY,Acetylglutamate kinase from Thermotoga maritima complexed with its inhibitor arginine,X-RAY DIFFRACTION,1.0,,4.6,,"15% POLYETHYLENE GLYCOL 4K, SODIUM ACETATE 50 MM PH 4.6, AMMONIUM SULFATE 75 MM",3.2,61.2,4.6,277,MICROBATCH,"{'POLYETHYLENE GLYCOL 4K': '15%', 'SODIUM ACETATE': '50 mM', 'AMMONIUM SULFATE': '75 MM'}","{
  ""pH"": 4.6,
  ""temperature"": 277,
  ""reagents"": {
    ""POLYETHYLENE GLYCOL 4K"": ""15%"",
    ""SODIUM ACETATE"": ""50 mM"",
    ""AMMONIUM SULFATE"": ""75 MM""
  },
  ""method"": ""MICROBATCH""
}
  																		"
4BRR,4BRR,Crystal structure of the integral membrane diacylglycerol kinase - delta 7.79,X-RAY DIFFRACTION,1.0,LIPIDIC CUBIC PHASE,5.6,277.0,"4-6 %(V/V) 2-METHYL-2, 4-PENTANEDIOL (MPD), 0.1 M SODIUM CHLORIDE, 60 MM MAGNESIUM ACETATE, 0.1 M SODIUM CITRATE/HCL PH 5.6. CRYSTALLIZED USING THE IN MESO (LIPIDIC CUBIC PHASE) METHOD AT 4 DEGREES CELCIUS WITH THE 7.9 MONOACYLGLYCEROL (7.9 MAG) AS THE HOSTING LIPID.",3.9,68.47,5.6,4,IN MESO (LIPIDIC CUBIC PHASE) METHOD,"{'0.1 M SODIUM CHLORIDE': '10%', 'MPD': '4-6 % (V/V)', '60 MM MAGNESIUM ACETATE': '60 MM', '0.1 M SODIUM CITRATE/HCL': '10%', '7.9 MAG': '7.9 MONOACYLGLYCEROL'}","{
    ""pH"": 5.6,
    ""temperature"": 4,
    ""reagents"": {
      ""0.1 M SODIUM CHLORIDE"": ""10%"",
      ""MPD"": ""4-6 % (V/V)"",
      ""60 MM MAGNESIUM ACETATE"": ""60 MM"",
      ""0.1 M SODIUM CITRATE/HCL"": ""10%"",
      ""7.9 MAG"": ""7.9 MONOACYLGLYCEROL""
    },
    ""method"": ""IN MESO (LIPIDIC CUBIC PHASE) METHOD""
  }
  																		"
4G3F,4G3F,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to a 2-(aminothiazoly)phenol (cmp2),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.5,277.0,"2 uL plus 2 uL well solution containing 1 mm cmp2, 100 mM bis-TRIS pH 6.5, 100 mM sodium chloride, 20% PEG 400, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.22,44.68,6.5,277,"VAPOR DIFFUSION, HANGING DROP","{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%'}","{
  ""pH"": 6.5,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
4G3G,4G3G,Crystal structure of murine NF-kappaB inducing kinase (NIK) V408L bound to a 2-(aminothiazolyl)phenol (cmp3),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.0,277.0,"0.2 uL protein plus 0.2 uL of 0.5 mM Cmp3, 100 mM HEPES pH 7.0, 0.01 M zinc chloride, 20% PEG 6000, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.08,40.99,7.0,277,"VAPOR DIFFUSION, SITTING DROP","{'Zinc chloride': '0.01 M', 'HEPES': '100 mM', 'Cmp3': '0.5 mM'}","{
  ""pH"": 7.0,
  ""temperature"": 277,
  ""reagents"": {
    ""Zinc chloride"": ""0.01 M"",
    ""HEPES"": ""100 mM"",
    ""Cmp3"": ""0.5 mM""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  "
6KHD,6KHD,Crystal structure of CLK1 in complex with CX-4945,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.0,293.0,"8% (v/v) Tacsimate, 18% (w/v) PEG 3350, 3% (v/v) Glycerol",1.69,27.41,7.4,277,HANGING DROP,"{'Tacsimate': '8% (v/v)', 'PEG 3350': '18% (w/v)', 'Glycerol': '3% (v/v)'}","{
  ""pH"": 7.4,
  ""temperature"": 277,
  ""reagents"": {
    ""Tacsimate"": ""8% (v/v)"",
    ""PEG 3350"": ""18% (w/v)"",
    ""Glycerol"": ""3% (w/v)""
  },
  ""method"": ""HANGING DROP""
}
																			"
6RJ4,6RJ4,"Molybdenum storage protein - P6422, ADP",X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,8.5,293.0,"1.2 M ammonium sulfate, 0.1 M Tris-HCl, pH 8.5",2.81,56.22,8.5,0.0,HANGING DROP,null,"{
  ""pH"": 8.5,
  ""temperature"": 0.0,
  ""method"": ""HANGING DROP""
}
																				"
4G3C,4G3C,Crystal structure of apo murine Nf-kappaB inducing kinase (NIK),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,276.0,"2uL protein with 2uL well solution of 0.5 M ammonium sulfate, 0.9 M lithium sulfate,0.1M sodium citrate tribasic dihydrate , pH 6.2, VAPOR DIFFUSION, HANGING DROP, temperature 276K",2.94,58.12,6.2,276,"VAPOR DIFFUSION, HANGING DROP","{'HEPES': None, 'ammonium sulfate': '0.5M', 'lithium sulfate': '0.9M', 'sodium citrate tribasic dihydrate': '0.1M', 'Tris/HCl': None}","{
  ""pH"": 6.2,
  ""temperature"": 276,
  ""reagents"": {
    ""HEPES"": null,
    ""ammonium sulfate"": ""0.5M"",
    ""lithium sulfate"": ""0.9M"",
    ""sodium citrate tribasic dihydrate"": ""0.1M"",
    ""Tris/HCl"": null
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
"
3LL5,3LL5,Crystal structure of T. acidophilum isopentenyl phosphate kinase product complex,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.0,274.0,"0.1 M PCB buffer (2:1:2 molar ratio of sodium propionate, sodium cacodylate, Bis-Tris propane, pH 6.0 containing 25% PEG1500, VAPOR DIFFUSION, SITTING DROP, temperature 274K",2.21,44.28,6.0,274,"VAPOR DIFFUSION, SITTING DROP","{'PCB buffer (2:1:2 molar ratio of sodium propionate, sodium cacodylate, Bis-Tris propane)': {'sodium propionate': '0.1M', 'sodium cacodylate': '0.2M', 'bis-tris propane': '0.3M'}, '25% PEG1500': '25%'}","{
  ""pH"": 6.0,
  ""temperature"": 274,
  ""reagents"": {
    ""PCB buffer (2:1:2 molar ratio of sodium propionate, sodium cacodylate, Bis-Tris propane)"": {
      ""sodium propionate"": ""0.1M"",
      ""sodium cacodylate"": ""0.2M"",
      ""bis-tris propane"": ""0.3M""
    },
    ""25% PEG1500"": ""25%""
  }
  ,
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
"
4JZ8,4JZ8,Carbamate kinase from Giardia lamblia bound to citric acid,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,295.0,"0.4 M ammonium citrate dibasic, pH 5.0, 21% PEG3350, crystal soaked in 2 mM inhibitor disulfiram (inhibitor did not bind but unit cell dimension b shrank by 6%), VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.17,43.39,5.0,295,"VAPOR DIFFUSION, HANGING DROP","{'0.4 M ammonium citrate dibasic': '0.4 M', 'PEG 3350': '21%', '2 mM inhibitor disulfiram': 'inhibitor did not bind'}","{
  ""pH"": 5.0,
  ""temperature"": 295,
  ""reagents"": {
    ""0.4 M ammonium citrate dibasic"": ""0.4 M"",
    ""PEG 3350"": ""21%"",
    ""2 mM inhibitor disulfiram"": ""inhibitor did not bind""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
																		"
4JZ9,4JZ9,Carbamate kinase from Giardia lamblia bound to citric acid,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,295.0,"0.4 M ammonium citrate dibasic, pH 5.0, 21% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.33,47.27,5.0,295,"VAPOR DIFFUSION, HANGING DROP","{'ammonium citrate dibasic': '0.4 M', 'PEG 3350': '21% (w/v)'}","{
  ""pH"": 5.0,
  ""temperature"": 295,
  ""reagents"": {
    ""ammonium citrate dibasic"": ""0.4 M"",
    ""PEG 3350"": ""21% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
              						"
6MYN,6MYN,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to inhibitor R7,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"100 mM sodium citrate tribasic dihydrate (pH 6.2), 0.5 M ammonium sulfate, 0.9 M lithium sulfate",3.3,62.68,6.2,298,HANGING DROP,"{'sodium citrate tribasic dihydrate (100 mM pH 6.2)': '0.1M', 'ammonium sulfate': '0.5M', 'lithium sulfate': '0.9M'}","{
  ""pH"": 6.2,
  ""temperature"": 298,
  ""reagents"": {
    ""sodium citrate tribasic dihydrate (100 mM pH 6.2)"": ""0.1M"",
    ""ammonium sulfate"": ""0.5M"",
    ""lithium sulfate"": ""0.9M""
  },
  ""method"": ""HANGING DROP""
}
  												  				"
2VQS,2VQS,Structural Studies of Nucleoside Analog and Feedback Inhibitor Binding to Drosophila Melanogaster Multisubstrate Deoxyribonucleoside Kinase,X-RAY DIFFRACTION,1.0,,6.5,,pH 6.5,3.08,51.08,6.5,0,,{},"{
  ""pH"": 6.5,
  ""temperature"": 0,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
																		"
1FWL,1FWL,CRYSTAL STRUCTURE OF HOMOSERINE KINASE,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.0,293.0,"PEG4000, sodium acetate, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.25,62.2,8.0,293,"VAPOR DIFFUSION, HANGING DROP","{'PEG4000': None, 'sodium acetate': '1M'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG4000"": null,
    ""sodium acetate"": ""1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
6CD6,6CD6,Crystal Structure of the Human CAMKK1A in complex with GSK650394,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.5,280.0,"33.75% PEG2000 MME, 0.15 M potassium thiocyanate, 0.1 M CHC buffer, pH 7.0, cryoprotectant: 30% polyethylene glycol",2.3,46.55,7.0,293,HANGING DROP,"{'PEG2000 MME': '33.75%', 'potassium thiocyanate': '0.15 M', 'CHC buffer': '0.1 M', 'polyethylene glycol': '30% (w/v)'}","{
  ""pH"": 7.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG2000 MME"": ""33.75%"",
    ""potassium thiocyanate"": ""0.15 M"",
    ""CHC buffer"": ""0.1 M"",
    ""polyethylene glycol"": ""30% (w/v)""
  },
  ""method"": ""HANGING DROP""
}
  																		"
3LKK,3LKK,Crystal structure of the isopentenyl phosphate kinase substrate complex,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.0,274.0,"0.1 M MIB buffer (2:3:3 molar ratio of sodium malonate, imidazole, boric acid), pH 7.0, 25% PEG1500, VAPOR DIFFUSION, SITTING DROP, temperature 274K",2.18,43.53,7.0,274,"VAPOR DIFFUSION, SITTING DROP","{'MIB buffer (2:3:3 molar ratio of sodium malonate, imidazole, boric acid)': '0.1 M', 'PEG1500': '25%'}","{
    ""pH"": 7.0,
    ""temperature"": 274,
    ""reagents"": {
        ""MIB buffer (2:3:3 molar ratio of sodium malonate, imidazole, boric acid)"": ""0.1 M"",
        ""PEG1500"": ""25%""
    },
    ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  																		"
5WNL,5WNL,Crystal structure of murine receptor-interacting protein 4 (Ripk4) D143N bound to staurosporine,X-RAY DIFFRACTION,1.0,MICROBATCH,,292.0,"0.1M HEPES pH 7.5, 200 mM magnesium chloride, 10% isopropanol, 15% ethylene glycol, and 10% PEG 4000",3.6,65.87,7.5,277,HANGING DROP,"{'HEPES': '0.1M', 'magnesium chloride': '200 mM', 'isopropanol': '10%', 'ethylene glycol': '15%', 'PEG 4000': '10%'}","{
  ""pH"": 7.5,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""magnesium chloride"": ""200 mM"",
    ""isopropanol"": ""10%"",
    ""ethylene glycol"": ""15%"",
    ""PEG 4000"": ""10%""
  },
  ""method"": ""HANGING DROP""
}
								       					"
1E7V,1E7V,"Structure determinants of phosphoinositide 3-kinase inhibition by wortmannin, LY294002, quercetin, myricetin and staurosporine",X-RAY DIFFRACTION,1.0,,7.25,,"14% PEG 4000, 0.2 M LI2SO4, 0.1 M TRIS PH 7.25",2.788,55.92,7.25,298,HANGING DROP,"{'PEG 4000': '14%', 'Li2SO4': '0.2M', 'TRIS pH 7.25': '0.1M'}","{
  ""pH"": 7.25,
  ""temperature"": 298,
  ""reagents"": {
    ""PEG 4000"": ""14%"",
    ""Li2SO4"": ""0.2M"",
    ""TRIS pH 7.25"": ""0.1M""
  },
  ""method"": ""HANGING DROP""
}
																				"
7L25,7L25,HPK1 IN COMPLEX WITH COMPOUND 18,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,,293.0,NO DISCLOSED,2.43,49.49,7.4,278,MICROBATCH,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%'}","{
  ""pH"": 7.4,
  ""temperature"": 278,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""MICROBATCH""
}
  						  								  "
1I5A,1I5A,STRUCTURE OF CHEA DOMAIN P4 IN COMPLEX WITH ADPCP AND MANGANESE,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,293.0,"PEG 8000 33-36% Ammonium acetate 0.8 M sodium acetate 0.085 M  pH 4.5. VAPOR DIFFUSION, HANGING DROP at 293 K",2.05,39.9,4.5,293,"VAPOR DIFFUSION, HANGING DROP","{'PEG 8000': '33-36%', 'Ammonium acetate': '0.8 M', 'sodium acetate': '0.085 M'}","{
  ""pH"": 4.5,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 8000"": ""33-36%"",
    ""Ammonium acetate"": ""0.8 M"",
    ""sodium acetate"": ""0.085 M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  					  											"
3UIM,3UIM,Structural basis for the impact of phosphorylation on plant receptor-like kinase BAK1 activation,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.5,291.0,"PEG3350, sodium citrate, ammonium sulfate, HEPES , pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.52,51.19,7.5,291,"VAPOR DIFFUSION, HANGING DROP","{'PEG3350': '10% (w/v)', 'sodium citrate': '50 mM', 'ammonium sulfate': '2M', 'HEPES': '0.1M'}","{
  ""pH"": 7.5,
  ""temperature"": 291,
  ""reagents"": {
    ""PEG3350"": ""10% (w/v)"",
    ""sodium citrate"": ""50 mM"",
    ""ammonium sulfate"": ""2M"",
    ""HEPES"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
								   						   "
5E4H,5E4H,Crystal Structure of Apoenzyme Alpha-kinase Domain of Myosin-II Heavy Chain Kinase A,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",9.0,277.15,"PEG8000, PEG300, glycerol, magnesium chloride, Tris-HCl",2.62,53.07,7.4,277,HANGING DROP,"{'Tris-HCl': '10 mM', 'glycerol': '50% (w/w)', 'magnesium chloride': '1 M', 'PEG8000': '8% (w/v)'}","{
  ""pH"": 7.4,
  ""temperature"": 277,
  ""reagents"": {
    ""Tris-HCl"": ""10 mM"",
    ""glycerol"": ""50% (w/w)"",
    ""magnesium chloride"": ""1 M"",
    ""PEG8000"": ""8% (w/v)""
  },
  ""method"": ""HANGING DROP""
}
  		   													"
6G33,6G33,Crystal structure of CLK1 in complex with 5-iodotubercidin,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.5,277.15,"20% 1,2-propanediol, 5% glycerol and 0.1 M NaKPO4",2.47,50.14,7,277,MICROBATCH,"{'1,2-propanoli': '20%', 'glycerol': '5%', 'NaKPO4': '0.1 M'}","{
  ""pH"": 7,
  ""temperature"": 277,
  ""reagents"": {
    ""1,2-propanoli"": ""20%"",
    ""glycerol"": ""5%"",
    ""NaKPO4"": ""0.1 M""
  },
  ""method"": ""MICROBATCH""
}
"
2VPP,2VPP,Drosophila melanogaster deoxyribonucleoside kinase successfully activates gemcitabine in transduced cancer cell lines,X-RAY DIFFRACTION,1.0,,6.5,,pH 6.5,2.68,48.0,6.5,0,,{},"{
  ""pH"": 6.5,
  ""temperature"": 0,
  ""reagents"": {},
  ""method"": """"
}
							     					"
6G4Y,6G4Y,Crystal structure of murine NF-kappaB inducing kinase (NIK) in complex with compound 1a,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"0.3-0.9M ammonium sulphate,
0.05-0.1M sodium citrate,
0.7-1.0M lithium sulphate",3.06,59.81,6.5,295,HANGING DROP,"{'ammonium sulfate': '0.3-0.9M', 'sodium citrate': '0.05-0.1M', 'lithium sulfate': '0.7-1.0M'}","{
  ""pH"": 6.5,
  ""temperature"": 295,
  ""reagents"": {
    ""ammonium sulfate"": ""0.3-0.9M"",
    ""sodium citrate"": ""0.05-0.1M"",
    ""lithium sulfate"": ""0.7-1.0M""
  },
  ""method"": ""HANGING DROP""
}
 																			"
